No,Nama Notasi,Nama Resmi Lean,Kategori,Penjelasan Sederhana,Analogi Sehari-hari,Contoh Kasus QuickBite,Makna Lean (Waste / Value Added)
11,Kartu Perintah Kerja (Kanban Card),Production / Withdrawal Kanban,Alur Informasi,"Kartu fisik atau sinyal visual yang menginstruksikan staf untuk ""Hanya memproduksi atau mengambil 1 unit lagi sekarang"".",Kupon nomor antrean cuci mobil atau kartu giliran donor darah.,Tiket pesanan digital nomor #042 yang muncul di layar koki sebagai perintah untuk mulai menggoreng burger.,"Alat visual pengendali kelebihan produksi (anti-overproduction); jika tidak ada kartu kanban, staf tidak boleh bekerja membuat barang."
12,Bintang Ledakan Peluang Kaizen (Kaizen Burst),Kaizen Burst (Kaizen Opportunity),Umum & Kaizen,Bentuk bintang ledakan tajam yang menyorot titik terjadinya pemborosan parah dan membutuhkan lokakarya perbaikan cepat (Kaizen workshop).,Tanda seru bahaya atau lingkaran merah pada peta bencana yang menandai titik krisis darurat.,"Kaizen: ""Ganti penumpukan nota manual dengan Kitchen Display System (KDS) untuk memangkas delay 5 menit.""",Pilar penghubung antara peta kondisi saat ini (Current State) menuju peta masa depan yang efisien (Future State).
13,Ikon Petugas / Pekerja (Operator),Operator Symbol,Umum & Kaizen,Simbol miniatur kepala dan bahu orang yang menunjukkan berapa jumlah staf manusia yang ditugaskan penuh pada stasiun kerja tersebut.,Ikon profil pengguna di aplikasi handphone.,1 Kasir di loket depan dan 1 Koki di meja penggorengan dapur.,Digunakan untuk analisis beban kerja (Line Balancing) dan efisiensi produktivitas tenaga kerja (Full-Time Equivalent/FTE).
14,Tangga Garis Waktu Lean (Timeline Ladder),Timeline Ladder (Step Wave),Garis Waktu & Metrik,Garis berundak seperti tangga di dasar diagram yang memisahkan waktu menganggur/menunggu (garis atas) dengan waktu kerja produktif (garis bawah).,Jadwal dokter: waktu 40 menit menunggu di ruang tunggu (atas) vs waktu 10 menit pemeriksaan dokter (bawah).,"Undakan atas: Wait Time 10m, 5m, 3m, 4m (Total 22m). Undakan bawah: Process Time 2m, 1m, 8m, 1m (Total 12m).",Jantung pengukuran VSM! Memperlihatkan secara visual betapa waktu pemborosan jauh lebih panjang daripada waktu kerja nyata.
15,Kotak Ringkasan Lead Time (Total Summary Box),Lead Time Summary Box,Garis Waktu & Metrik,"Kotak kalkulasi di ujung kanan bawah tangga waktu yang menjumlahkan Total Waktu Tunggu, Total Waktu Proses, serta Efisiensi Siklus.",Struk nilai rapor akhir yang menyajikan persentase kehadiran produktif siswa.,"Total Wait Time = 22m, Total Process Time = 12m, Total Lead Time = 34m, Efisiensi Siklus (PCE) = 35.3%.",Menghitung Process Cycle Efficiency (PCE) = (Value-Added Time / Total Lead Time) x 100%.
16,Panah Tarik Material (Material Pull),Material Pull Arrow,Alur Fisik / Material,"Panah tipis berlubang yang menandakan barang hanya ditarik/diambil oleh proses hilir saat benar-benar dibutuhkan, bukan didorong oleh proses hulu.","Seperti mengambil satu sendok es krim dari cone hanya saat lidah siap menjilat, bukan menuang semua isi toples dulu.","Koki mengambil 1 porsi ayam tepung dari wadah marinasi hanya saat ada pesanan masuk, lalu wadah diisi ulang.","Inti sistem Pull (Just-In-Time): produksi dipicu permintaan nyata, menekan overproduction dan penumpukan WIP."
17,Stok Pengaman (Safety Stock),Safety Stock,Alur Fisik / Material,Segitiga dengan sudut membulat yang melambangkan persediaan cadangan (buffer) untuk menjaga produksi tetap jalan saat ada gangguan.,"Tabungan darurat di rekening: tidak dipakai sehari-hari, tapi siap dipakai kalau gaji telat.",Stok cadangan 2 dus gelas plastik di dapur QuickBite agar tidak kehabisan saat supplier telat antar.,"Menjamin kelancaran aliran saat terjadi fluktuasi permintaan atau gangguan pasokan, namun jumlahnya harus dikelola agar tidak jadi pemborosan."
18,Pengiriman Eksternal (External Shipment),External Shipment,Alur Fisik / Material,Ikon truk yang menandakan pengiriman barang dari supplier ke pabrik atau dari pabrik ke customer.,Mobil box yang mengantar bahan baku ke dapur dan armada kurir yang mengantar pesanan ke pelanggan.,Truk distributor telur dan ayam tiba setiap pagi pukul 07.00 di loading dock QuickBite.,"Menandai titik perpindahan barang melintasi batas sistem (masuk dari pemasok, keluar ke pelanggan)."
19,Sel Kerja Terintegrasi (Workcell),Workcell,Alur Fisik / Material,Kotak proses besar yang menggabungkan beberapa proses kecil dalam satu sel produksi yang saling berdekatan.,"Satu dapur compact yang punya kompor, wastafel, dan meja potong dalam satu baris, sehingga koki tidak perlu bolak-balik jauh.","Sel kerja penataan topping: roti diiris, dioles saus, dan ditabur keju dalam satu area tanpa jeda.","Mengurangi jarak dan waktu transport antar proses, mendorong aliran satu unit (one-piece flow)."
20,Kanban Produksi (Production Kanban),Production Kanban,Alur Informasi,Kartu perintah yang memberi tahu proses pemasok untuk memproduksi sejumlah barang tertentu bagi proses hilir.,"Struk dapur ""buat 10 burger"" yang ditempel di depan koki sebelum mulai memasak.","Kartu ""produksi 5 porsi nasi ayam"" muncul begitu stok di rak ambil tersisa 5 porsi.","Mengendalikan produksi agar jumlahnya selalu sesuai permintaan turun, mencegah membuat barang lebih dulu tanpa perintah."
21,Kanban Penarikan (Withdrawal Kanban),Withdrawal Kanban,Alur Informasi,Kartu atau perangkat yang memerintahkan petugas material untuk memindahkan barang dari supermarket ke proses penerima.,"Bon permintaan ""tolong ambilkan gula 2 kg dari gudang"" yang dibawa petugas saat stok di dapur menipis.",Petugas dapur membawa kartu tarik untuk mengambil 1 kotak bumbu dari rak penyimpanan ke meja koki.,"Menggerakkan barang hanya saat dibutuhkan proses hilir, menjaga arus material tetap pull-based."
22,Kanban Sinyal (Signal Kanban),Signal Kanban,Alur Informasi,"Kanban yang dipakai saat stok antara dua proses sudah turun ke titik minimum, memberi sinyal untuk produksi ulang.","Lampu minyak di dashboard mobil menyala saat bensin tinggal sedikit, menandakan harus segera isi.","Saat stok gelas di rak tinggal 1 dus, sinyal kanban menempel di tiang agar segera dipesan ulang.",Mencegah stockout pada barang yang diproduksi dalam batch besar atau yang tidak diambil satu-satu.
23,Papan Kanban (Kanban Post),Kanban Post,Alur Informasi,Lokasi atau papan tempat kartu kanban disimpan dan menunggu untuk diambil oleh proses hilir.,Kotak masuk surat di kantor: surat (kanban) menumpuk di sana sampai kurir (proses hilir) mengambilnya.,Papan gantung di dinding dapur tempat kartu pesanan menunggu diambil koki.,Menjadi titik kontrol visual: jika kartu menumpuk berarti ada hambatan aliran yang perlu dievaluasi.
24,Penarikan Berurutan (Sequenced Pull),Sequenced Pull,Alur Informasi,"Sistem yang memberi perintah langsung ke proses sub-rakitan untuk membuat barang dalam urutan tertentu, tanpa perantara supermarket.",Konveyor sushi di restoran Jepang: setiap piring diisi sesuai urutan pesanan pelanggan tanpa stok perantara.,"Urutan pesanan #042, #043, #044 langsung diteruskan ke dapur dalam antrean tetap sesuai nomor.",Memangkas waktu tunggu supermarket untuk produk dengan permintaan yang sudah terprediksi dan relatif stabil.
25,Kotak Perata Beban (Load Leveling / Heijunka),Load Leveling (Heijunka Box),Alur Informasi,Kotak berkolom yang meratakan volume dan jenis produksi dengan membagi kartu kanban ke slot waktu agar beban kerja rata.,Jadwal piket dapur yang diatur bergiliran agar semua anggota tim kebagian beban merata tiap hari.,"Slot 10.00-11.00 diisi 4 kartu burger, 11.00-12.00 diisi 3 kartu burger dan 1 nasi ayam, dst.",Menghaluskan lonjakan permintaan sehingga proses hulu tidak kewalahan dan kapasitas terpakai efisien.
26,Penjadwalan MRP/ERP,MRP / ERP Scheduling,Alur Informasi,Kotak berisi ikon komputer yang menandakan perencanaan kebutuhan material dan jadwal produksi dihitung oleh sistem ERP/MRP terpusat.,"Aplikasi kasir yang otomatis menghitung: stok habis dikurangi, otomatis muncul daftar belanja ke supplier.",Sistem POS QuickBite menghitung kebutuhan bahan baku harian dari data penjualan kemarin.,"Pusat data terintegrasi untuk forecast, namun tetap perlu divalidasi dengan kondisi nyata di lantai produksi."
27,Langsung Lihat (Go See),Go See,Umum & Kaizen,"Ikon kacamata yang berarti manajer/pelaku proses mengamati langsung kondisi nyata di lapangan, bukan hanya membaca laporan.",Koki senior mencicipi langsung kuah di dapur daripada hanya membaca resep tertulis.,Pengelola QuickBite berdiri 15 menit di depan antrean untuk melihat sendiri bottleneck di jam sibuk.,"Prinsip Genchi Genbutsu (go and see): keputusan perbaikan berbasis fakta lapangan, bukan asumsi."
28,Informasi Lisan (Verbal Information),Verbal Information,Alur Informasi,"Alur informasi yang disampaikan secara lisan atau personal, digambar sebagai panah dengan ikon orang kecil.","Teriak ""satu es teh, Bu!"" dari meja ke dapur tanpa tulisan.","Mahasiswa di kasir menyebut langsung menu favoritnya, dan kasir meneruskannya secara lisan ke koki.",Rentan salah dengar dan tidak terdokumentasi; pada future state biasanya diganti dengan sinyal visual atau digital.
29,Waktu Takt (Takt Time),Takt Time,Garis Waktu & Metrik,"Kecepatan produksi yang harus dipenuhi agar selaras dengan permintaan pelanggan, dihitung dari waktu kerja dibagi jumlah permintaan.",Irama metronom pengatur tempo musik: semua alat musik (proses) harus mengikuti birama yang sama.,Jam buka 8 jam (480 menit) dibagi 120 pesanan/hari = Takt Time 4 menit per pesanan.,"Patokan sinkronisasi seluruh proses: jika cycle time melebihi takt time, antrean pasti menumpuk."
